image,Bud Cluster,Flower,Fruit,catalogNumber,gbifID,institutionCode,recordedBy,eventDate,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,scientificName,specificEpithet
3865378415,0,0,6,3865378415,3865378415,PH,"Robert L. Schaeffer, Jr.",1952-08-02,215,215,1952,8,2,NA,Pennsylvania,Northampton,NA,1.5 mi. E of Centerville,40.866877,-75.099035,1204.0,Raphanus raphanistrum L.,raphanistrum
4101881488,0,2,2,4101881488,4101881488,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,Louisiana,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5889171835,3,10,7,5889171835,5889171835,BRIT,E. Stanley,2000-04-06,97,97,2000,4,6,NA,Texas,Erath,NA,"Stephenville, Tx; lot on the corner of Hyman and 6th St",32.205937,-98.214878,54.0,Raphanus sativus L.,sativus
2573085208,2,3,0,2573085208,2573085208,VT,NA,1898-06-15,166,166,1898,6,15,1898-6-15,Maine,Androscoggin,Lewiston,NA,44.09146,-70.16808,9610.0,Raphanus sativus L.,sativus
5106243448,3,2,0,5106243448,5106243448,UNCC,"Barringer, P. [""Phil""]",1976-05-10,131,131,1976,5,10,1976-5-10,North Carolina,Alexander,NA,Rocky Face,35.972354,-81.108692,NA,Raphanus raphanistrum subsp. raphanistrum,raphanistrum
3969864034,0,3,0,3969864034,3969864034,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2512862347,1,2,10,2512862347,2512862347,US,L. F. Ward,1877,NA,NA,1877,NA,NA,NA,Virginia,City of Norfolk,NA,Norfolk.,NA,NA,NA,Raphanus sativus L.,sativus
2234331250,1,12,2,2234331250,2234331250,NCU,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3925803558,5,10,1,3925803558,3925803558,MISS,S. B. Jones,1966-03-16,75,75,1966,3,16,3/16/1966,Mississippi,Jones,NA,R14W T6N sec 1.,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
1998976464,4,6,3,1998976464,1998976464,ECON,O. Ames,1916-06-13,165,165,1916,6,13,"June 13, 1916",Massachusetts,Bristol County,Easton,Easton,42.02778,-71.11192,3910m,Raphanus raphanistrum L.,raphanistrum
3344481299,2,14,9,3344481299,3344481299,CLEMS,John B. Nelson,1973-08-15,227,227,1973,8,15,NA,South Carolina,Richland,NA,Richland,NA,NA,NA,Raphanus sativus L.,sativus
2234332539,3,1,1,2234332539,2234332539,NCU,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,Baldwin,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
YOSE225087,1,2,3,YOSE225087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999157503,5,14,15,1999157503,1999157503,GH,E. F. Williams,1897-07-25,206,206,1897,7,25,"July 25, 1897",New Hampshire,Coos County,Randolph,Randolph,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2430082816,1,8,26,2430082816,2430082816,RSA,E. R. Blakley,1960-04-05,96,96,1960,4,5,"April 5-10, 1960",California,Santa Barbara,NA,"Beach bluffs at the Vail Ranch headquaters, Santa Rosa Island",34.0073,-120.04943,160.0,Raphanus raphanistrum L.,raphanistrum
3820734926,2,7,9,3820734926,3820734926,OSU,David Gross,2016-08-27,240,240,2016,8,27,27 Aug 2016,Oregon,Lincoln,NA,Waldport.,NA,NA,NA,Raphanus sativus L.,sativus
1998828278,0,3,20,1998828278,1998828278,NEBC,F. F. Forbes,1914-06-30,181,181,1914,6,30,June 30 1914,Massachusetts,Bristol County,Rehoboth,Rehoboth,NA,NA,NA,Raphanus sativus L.,sativus
3865377308,0,0,13,3865377308,3865377308,PH,"Robert L. Schaeffer, Jr.",1947-07-20,201,201,1947,7,20,NA,Pennsylvania,Northampton,NA,1 mi. N of Danielsville,40.806432,-75.534081,2639.0,Raphanus sativus L.,sativus
5067924809,1,0,5,5067924809,5067924809,University of New Hampshire,O. W. Knight;,1905-07-08,189,189,1905,7,8,NA,Maine,Penobscot,Bangor,NA,44.83124,-68.78856,7086.0,Raphanus raphanistrum L.,raphanistrum
2430390468,3,26,32,2430390468,2430390468,RSA,N. C. Cooper,1944-04-22,113,113,1944,4,22,"April 22, 1944.",California,Riverside,NA,Banning.,33.8999801,-116.8756071,10000.0,Raphanus sativus L.,sativus
3710040784,6,2,56,3710040784,3710040784,GA,NA,NA,NA,NA,NA,NA,NA,NA,California,Los Angeles County,NA,"Los Angeles County, CA",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
4856038261,0,15,40,4856038261,4856038261,ETSU,Jamey Donaldson,1990-03-30,89,89,1990,3,30,3/30/90,North Carolina,Scotland,NA,"Field next to sewer plant, St. Andrews",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2234307765,5,12,9,2234307765,2234307765,NCU,"Carter, J. [Jay]",1973-06-23,174,174,1973,6,23,NA,North Carolina,Moore,NA,Open roadside at old field edge: 3 1/2 mi. NNE. of Southern Pines (SR 1802),NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5900701147,0,0,24,5900701147,5900701147,RSA,Jon Rebman; Christy Wolf,2022-05-25,145,145,2022,5,25,25 May 2022,California,San Diego,NA,Fallbrook Naval Weapons Station: west of Fallbrook; South Magazine; S side of Ammunition Rd along Fallbrook Creek.,33.36497,-117.26329,NA,Raphanus raphanistrum L.,raphanistrum
894984579,1,0,30,894984579,894984579,University of Lethbridge,H.E. Ahles,1979-07-05,186,186,1979,7,5,NA,Massachusetts,NA,NA,"Daymon Road near railroad, Northampton",42.338,-72.63613,150,Raphanus raphanistrum L.,raphanistrum
4912308178,5,14,17,4912308178,4912308178,BRY,Elizabeth Neese,1981-01-27,27,27,1981,1,27,1981-1-27,California,Santa Cruz,NA,Pajaro dunes near Watsonville.,NA,NA,NA,Raphanus sativus L.,sativus
3969780972,0,19,13,3969780972,3969780972,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5072730533,16,9,4,5072730533,5072730533,PEMB,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Robeson,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3865109358,0,1,4,3865109358,3865109358,PH,Edgar T. Wherry,1958-08-09,221,221,1958,8,9,NA,Pennsylvania,Montgomery,NA,1 mi. SW of Frederick,40.292628,-75.542784,1070.0,Raphanus raphanistrum L.,raphanistrum
2512771806,4,6,33,2512771806,2512771806,US,L. F. Ward,1877-05-17,137,137,1877,5,17,NA,Virginia,City of Norfolk,NA,Common's of Bombay Hook. Near Norfolk.,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3829914342,0,7,19,3829914342,3829914342,MISSA,K. E. Rogers,1969-05-03,123,123,1969,5,3,NA,Mississippi,Stone,NA,University of Mississippi Forest Lands,30.78194,-89.13806,3036.0,Raphanus raphanistrum L.,raphanistrum
3091277543,0,23,55,3091277543,3091277543,ASC,R. Meidell,1971-05-15,135,135,1971,5,15,NA,California,Santa Barbara,NA,"Adams Park, 1 mile north of Lompoc on Hwy S-20",34.678111,-120.458736,NA,Raphanus sativus L.,sativus
3897880704,0,0,0,3897880704,3897880704,CHRB,NA,NA,NA,NA,NA,NA,NA,NA,New Jersey,Mercer,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3865108375,0,6,25,3865108375,3865108375,PH,Flora S. Fender,1935-09-29,272,272,1935,9,29,Sept 29 1935,New Jersey,Cape May,NA,Avalon,39.101225,-74.717662,5034.0,Raphanus raphanistrum L.,raphanistrum
2565965269,0,4,10,2565965269,2565965269,CSLA,Alfred Traverse,1960-04-23,114,114,1960,4,23,23 Apr 1960,Texas,Harris,NA,"Houston (Spring Branch), 1428 Adkins Road.",NA,NA,NA,Raphanus sativus L.,sativus
3695177067,0,4,2,3695177067,3695177067,UAM,Eric Sundell; Milanne Sundell,2004-04-24,115,115,2004,4,24,24 April 2004,Alabama,Birmingham,NA,"Birmingham, E of metropolitan area. ""The Rise"" stables.",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
4067794453,1,2,12,4067794453,4067794453,MCA,"R. L. Schaeffer, Jr.",1968-06-19,171,171,1968,6,19,NA,Pennsylvania,Carbon,NA,1/2 mile S of Upper Pine Run School,40.882818,-75.620546,832.0,Raphanus raphanistrum L.,raphanistrum
2430071957,1,23,24,2430071957,2430071957,RSA,Phillip Robinson,1991-05-12,132,132,1991,5,12,12 May 1991,California,Los Angeles,NA,"Sycamore Canyon 0.25 miles south of intersection of Beverly Blvd & Workman Mill Road. 1.2 miles east of Workman Mill Rd on trail into canyon. [City of Industry, sw of Rio Hondo College, east of 605 Fwy]",NA,NA,NA,Raphanus sativus L.,sativus
2234334300,3,6,4,2234334300,2234334300,NCU,NA,NA,NA,NA,NA,NA,NA,NA,Virginia,Norfolk City,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5081485331,0,6,9,5081485331,5081485331,ERSK,"Ellison, W.L.",1969-04-04,94,94,1969,4,4,NA,South Carolina,Barnwell,NA,Ca. 2 miles east of Williston on highway 39.,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
CDA-0016211,0,2,41,CDA-0016211,3059684838,CDA,G.F. Hrusa,1999-04-25,115,115,1999,4,25,4/25/1999,California,Yolo,NA,Roadside at I-5 exit to River Rd. ± 3-4 mi S of Woodland on W side. Sacramento Valley.,38.67,-121.64,NA,Raphanus sativus L.,sativus
3091277514,0,3,24,3091277514,3091277514,ASC,T. McLarty,1973-03-22,81,81,1973,3,22,NA,California,Los Angeles,NA,"Glendora, vacant lot",34.136119,-117.865339,6891.0,Raphanus raphanistrum L.,raphanistrum
1998820234,0,8,20,1998820234,1998820234,NEBC,N. F. Thayer,1903,NA,NA,1903,NA,NA,July 1903,Massachusetts,Worcester County,Lancaster,Lancaster,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3400897306,0,11,28,3400897306,3400897306,USF,Nelson,2018-03-16,75,75,2018,3,16,NA,South Carolina,Colleton Co.,NA,"S side of SC 64 at Doctors Creek Road, 2.5 road mi. W of I-95, 4 air mi. W of Walterboro.",32.9389,-80.7309,NA,Raphanus raphanistrum L.,raphanistrum
2992927302,1,1,14,2992927302,2992927302,USF,NA,1887-07-31,212,212,1887,7,31,NA,Massachusetts,Norfolk Co.,NA,Needham.,42.2834,-71.2328,NA,Raphanus raphanistrum L.,raphanistrum
2573523062,0,2,2,2573523062,2573523062,COLO,NA,NA,NA,NA,NA,NA,NA,NA,Massachusetts,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2234331694,1,3,29,2234331694,2234331694,NCU,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Harnett,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2430251413,0,13,12,2430251413,2430251413,RSA,"Steve Boyd; Andy Sanders, Mark Skinner",1990-04-28,118,118,1990,4,28,"April 28, 1990",California,Riverside,NA,"Vail Lake area, SW base of ‘Big’ Oak Mtn. at mouth of Temecula Creek Cyn. below dam.",33.4999907,-116.9906059,5000.0,Raphanus sativus L.,sativus
5103533218,1,3,14,5103533218,5103533218,UTEP,Collector(s): unknown,1994-04-01,91,91,1994,4,1,01-Apr-94,California,Monterey County,NA,"Los Padres National Forest, meadow above Jade Cove",35.906668,-121.451851,1229.0,Raphanus sativus L.,sativus
2512815201,5,13,23,2512815201,2512815201,US,S. Blake,1911-06-15,166,166,1911,6,15,NA,Massachusetts,NA,NA,"New- planted field, Canton Junction.",42.16217,-71.15948,1000,Raphanus raphanistrum L.,raphanistrum
5106272801,0,0,18,5106272801,5106272801,UNCC,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Robeson,NA,NA,NA,NA,NA,Raphanus raphanistrum subsp. raphanistrum,raphanistrum
1998838468,1,1,6,1998838468,1998838468,GH,R. H. Lombard,1937-07-10,191,191,1937,7,10,"July 10, 1937",Maine,York County,Ogunquit,Ogunquit,43.25084,-70.60324,4000,Raphanus raphanistrum L.,raphanistrum
2430172263,3,12,24,2430172263,2430172263,RSA,R. F. Thorne,1966-04-29,119,119,1966,4,29,"April 29, 1966",California,Los Angeles,NA,"Santa Catalina Island. Middle Ranch, Middle Ranch Canyon.",NA,NA,NA,Raphanus sativus L.,sativus
2430221992,0,10,27,2430221992,2430221992,RSA,H. M. Pollard,1947-02-16,47,47,1947,2,16,"Feb. 16, 1947",California,Ventura,NA,Fairview Road.,34.45828,-119.26906,1207.0,Raphanus raphanistrum L.,raphanistrum
2517362078,0,0,10,2517362078,2517362078,NA,Denton V,1898-01-01/1898-12-31,1,365,1898,NA,NA,NA,NA,NA,NA,"U.S.A. Wellesley, Mass.",NA,NA,NA,Rapistrum raphanistrum (L.) Crantz,raphanistrum
2573520967,0,12,30,2573520967,2573520967,COLO,NA,NA,NA,NA,NA,NA,NA,NA,California,Sonoma,NA,NA,NA,NA,NA,Raphanus sativus L.,sativus
5074461249,1,3,3,5074461249,5074461249,University of Rhode Island,W. L. Halvorson,1978-07-22,203,203,1978,7,22,NA,Rhode Island,Washington,South Kingstown,campus of Univ. of Rhode Island,41.4467,-71.54742,11590.0,Raphanus raphanistrum L.,raphanistrum
3744713798,0,1,8,3744713798,3744713798,UNA,Alvin R. Diamond,2005-02-22,53,53,2005,2,22,2/22/2005,Alabama,Dale,Ozark,air mi of Ozark.,31.45,-85.65,NA,Raphanus raphanistrum L.,raphanistrum
4912151099,2,9,28,4912151099,4912151099,BRY,D. E. Bright,1962-04-16,106,106,1962,4,16,1962-4-16,California,Alameda,NA,"Along Highway #17, north city limits of Fremont.",NA,NA,NA,Raphanus sativus L.,sativus
2234308015,3,22,10,2234308015,2234308015,NCU,"Poindexter, Derick B.; Poindexter, Amanda; Poindexter, Ashton; Poindexter, Carter",2012-04-08,99,99,2012,4,8,NA,North Carolina,Alleghany,NA,"Glade Creek Township, Barrett. Located along Little Pine Rd., ca. 0.5 mi NW of the Barrett Rd jct",36.526972,-80.997401,10.0,Raphanus sativus L.,sativus
3865104317,1,2,27,3865104317,3865104317,PH,H.L. Fisher,1913-06-28,179,179,1913,6,28,6-28-13,New Jersey,Hunterdon,NA,Annandale,40.640935,-74.881278,2556.0,Raphanus raphanistrum L.,raphanistrum
5070654920,2,1,1,5070654920,5070654920,IND,B. June McCaskill; J. M. Tucker,1958-05-29,149,149,1958,5,29,"May 29, 1958",California,Yolo,NA,"just south of Vegetable Crops' southernmost greenhouse, University of California, Davis",NA,NA,NA,Raphanus sativus L.,sativus
3344427785,0,8,20,3344427785,3344427785,CLEMS,Richard R. Halse,1995-07-22,203,203,1995,7,22,NA,Oregon,Benton,NA,Benton,NA,NA,NA,Raphanus sativus L.,sativus
SML_5068043243,1,4,0,SML_5068043243,5068043243,Keene State University,Mark N. North,NA,NA,NA,NA,NA,NA,NA,Massachusetts,Hampshire,Amherst,NA,42.36447,-72.50686,7831.0,Raphanus sativus L.,sativus
3344481309,0,0,24,3344481309,3344481309,CLEMS,"Payne, D.",2006-07-16,197,197,2006,7,16,NA,South Carolina,Beaufort,NA,At the on London Ave at the corner at the SW corner of London Ave. & 8th St. Town of Port Royal.,NA,NA,NA,Raphanus sativus L.,sativus
3865374375,4,3,16,3865374375,3865374375,PH,A. Commons,1898-08-04,216,216,1898,8,4,NA,Delaware,Sussex,NA,Lewes,38.774556,-75.13935,5774.0,Raphanus raphanistrum L.,raphanistrum
5106272840,4,7,17,5106272840,5106272840,UNCC,NA,NA,NA,NA,NA,NA,NA,NA,South Carolina,Darlington,NA,NA,NA,NA,NA,Raphanus raphanistrum subsp. raphanistrum,raphanistrum
2430340346,0,6,6,2430340346,2430340346,RSA,Fred M. Roberts; D. E. Bramlet,2004-04-21,112,112,2004,4,21,21 Apr 2004,California,Orange,NA,"Rancho Mission Viejo: Donna O’Neill Land Conservancy. Along Back Road in upper Shady Canyon, 1.74km NW Sycamore Gate, 1.23km W of Cristianitos Road.; San Clemente",33.493889,-117.573889,NA,Raphanus sativus L.,sativus
4092881462,0,0,4,4092881462,4092881462,FARM,NA,NA,NA,NA,NA,NA,NA,NA,Virginia,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
4075454242,0,9,21,4075454242,4075454242,DOV,F.D. Chester,1891-08,NA,NA,1891,8,NA,Aug. 1891,Delaware,New Castle,NA,Newark,39.68192,-75.75135,2250,Raphanus sativus L.,sativus
3865378424,1,8,56,3865378424,3865378424,PH,Charles S. Williamson,1912-06-23,175,175,1912,6,23,June 23 1912,New Jersey,Ocean,NA,Point Pleasant,40.083171,-74.068193,2654.0,Raphanus raphanistrum L.,raphanistrum
1998874970,0,1,11,1998874970,1998874970,NEBC,E. J. Palmer,1925-07-10,191,191,1925,7,10,NA,Massachusetts,Suffolk County,Boston,The Arnold Arboretum [Jamaica Plain],42.2994,-71.12395,1100,Raphanus raphanistrum L.,raphanistrum
1998721168,0,5,22,1998721168,1998721168,NEBC,E. W. Sinnott,1907-07-11,192,192,1907,7,11,"July 11, 07",Massachusetts,NA,NA,Barnstable Town,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
5070543350,6,19,34,5070543350,5070543350,BALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus L.,NA
2573115324,2,3,5,2573115324,2573115324,VT,NA,1978-07-03,184,184,1978,7,3,1978-7-3,Connecticut,New London,Stonington,NA,41.3683,-71.90669,8831.0,Raphanus raphanistrum L.,raphanistrum
5106271621,1,3,1,5106271621,5106271621,UNCC,"Podolsky, Diane",2016-12-22,357,357,2016,12,22,NA,North Carolina,Mecklenburg,NA,Huntersville. Approximately 6 feet off access path next to Woodie's Auto on Market Square Drive.,35.40871,-80.86519,NA,Raphanus raphanistrum subsp. raphanistrum,raphanistrum
2859081864,0,0,14,2859081864,2859081864,CM,"Porter, T.C.",1897-06-19,170,170,1897,6,19,19 Jun 1897,Pennsylvania,Northampton,NA,"Easton, College Hill",40.70071,-75.20805,1275.0,Raphanus raphanistrum L.,raphanistrum
1999367088,0,3,9,1999367088,1999367088,NEBC,L. A. Wheeler,1916-07-12,194,194,1916,7,12,"July 12, 1916",Vermont,Windham County,Townshend,Townshend,NA,NA,NA,Raphanus sativus L.,sativus
3357380441,2,0,22,3357380441,3357380441,GMUF,"Ted Bradley, Gary Lam",1983-08-10,222,222,1983,8,10,10 Aug 1983,Virginia,Northampton,NA,j. n. of Cheriton on U.S. 13,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3865097246,1,6,12,3865097246,3865097246,PH,David Berkheimer,1967-09-07,250,250,1967,9,7,NA,Pennsylvania,Bedford,NA,1 mi. NNE of Lafayetteville,40.215135,-78.446365,959.0,Raphanus raphanistrum L.,raphanistrum
3344481247,4,3,2,3344481247,3344481247,CLEMS,John F. Townsend,1993-04-04,94,94,1993,4,4,NA,South Carolina,Colleton,NA,Colleton,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3709901927,1,15,33,3709901927,3709901927,GA,NA,NA,NA,NA,NA,NA,NA,NA,Oregon,Benton County,NA,"Benton County, OR",NA,NA,NA,Raphanus sativus L.,sativus
2573010090,0,0,1,2573010090,2573010090,VT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus L.,NA
2430423842,1,16,22,2430423842,2430423842,RSA,F. R. Fosberg,1931-04-16,106,106,1931,4,16,4/16/1931,California,Los Angeles,NA,"Eagles Nest, Middle Ranch Canyon, Santa Catalina Island.",NA,NA,NA,Raphanus sativus L.,sativus
5067925815,2,1,7,5067925815,5067925815,University of New Hampshire,C. F. Batchelder,1932-07-15,197,197,1932,7,15,NA,New Hampshire,Hillsborough,Peterborough,open waste ground,42.89051,-71.93935,7291.0,Raphanus raphanistrum L.,raphanistrum
4101879459,3,1,5,4101879459,4101879459,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,Louisiana,NA,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
4102218532,5,8,1,4102218532,4102218532,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,California,Butte,NA,NA,NA,NA,NA,Raphanus sativus L.,sativus
3969778960,0,6,8,3969778960,3969778960,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus sativus L.,sativus
SML_5198215850,4,8,10,SML_5198215850,5198215850,CAS,"Logue, John F.",1967-03-25,84,84,1967,3,25,3/25/67,South Carolina,Richland County,NA,"Intersection of I20 and U.S. 76, 7 miles north of Columbia. The Southeastern United States.",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3091277620,2,13,28,3091277620,3091277620,ASC,P. Marx,1974-11-10,314,314,1974,11,10,NA,California,San Diego,NA,Roadside along Hwy 80 - 2 miles outside city of Alpine,32.834454,-116.741331,301.0,Raphanus sativus L.,sativus
3969795110,0,0,8,3969795110,3969795110,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raphanus sativus L.,sativus
2430274255,1,4,24,2430274255,2430274255,RSA,F. A. Thackery,1928-05-06,127,127,1928,5,6,"5-6, 1928",California,San Diego,NA,Franklin Canyon.,NA,NA,NA,Raphanus sativus L.,sativus
3820606968,3,7,12,3820606968,3820606968,OSU,Richard R. Halse,2008-10-27,301,301,2008,10,27,NA,Oregon,Benton,NA,ca. 9 miles south of Corvallis along Smith Loop Road ca. 0.5 miles north of its junction with Dorr Road.,44.46044,-123.23572,805.0,Raphanus sativus L.,sativus
3357380416,0,3,0,3357380416,3357380416,GMUF,"Ted Bradley, Brodeus",1978-05-17,137,137,1978,5,17,17 May 1978,Virginia,Culpeper,NA,Along railroad in Culpeper.,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2573131006,3,1,5,2573131006,2573131006,VT,Richard R. Halse,NA,NA,NA,NA,NA,NA,NA,California,NA,Sonoma County,NA,NA,NA,NA,Raphanus sativus L.,sativus
5067926813,0,2,72,5067926813,5067926813,University of New Hampshire,A. R. Hodgdon; O. Wells;J. Mitchell;W. Yeo,1970-07-10,191,191,1970,7,10,NA,New Hampshire,Strafford,Madbury,Laton Farm,43.17479,-70.94086,8758.0,Raphanus raphanistrum L.,raphanistrum
1999119261,2,8,50,1999119261,1999119261,GH,G. G. Kennedy,1863-09-12,255,255,1863,9,12,Sept. 12 1863,Massachusetts,Suffolk County,Chelsea,Chelsea,42.39769,-71.03113,1300,Raphanus raphanistrum L.,raphanistrum
3897882335,1,6,25,3897882335,3897882335,CHRB,NA,NA,NA,NA,NA,NA,NA,NA,New Jersey,Ocean,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2430276442,0,11,28,2430276442,2430276442,RSA,L. C. Wheeler,1932-01-08,8,8,1932,1,8,"Jan. 8, 1932",California,Los Angeles,NA,2 mi. SW Glendora.,NA,NA,NA,Raphanus sativus L.,sativus
SML_3395815342,1,1,0,SML_3395815342,3395815342,NEBC,L. Sneddon,1985-07,NA,NA,1985,7,NA,NA,Massachusetts,Plymouth County,Marshfield,Daniel Webster Wildlife Sanctuary,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3865364295,2,9,12,3865364295,3865364295,PH,Bayard Long,1952-06-14,166,166,1952,6,14,NA,Pennsylvania,Philadelphia,NA,"about 18th and Parkway, Philadelphia",NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
2430165112,1,4,19,2430165112,2430165112,RSA,Kenneth Beard,NA,NA,NA,NA,NA,NA,Apr,California,Los Angeles,NA,Along Palisades Road,NA,NA,NA,Raphanus sativus L.,sativus
3341236054,1,0,17,3341236054,3341236054,SIM,William T. Davis,1898-06-19,170,170,1898,6,19,NA,New York,Richmond,NA,"West New Brighton, Staten Island",40.634548,-74.112087,3036.0,Raphanus raphanistrum L.,raphanistrum
2234330574,1,5,40,2234330574,2234330574,NCU,NA,NA,NA,NA,NA,NA,NA,NA,North Carolina,Duplin,NA,NA,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
3865375345,0,10,13,3865375345,3865375345,PH,C.D. Lippincott,1891-08-09,221,221,1891,8,9,8/9 91,New Jersey,Cape May,NA,Cape May,38.935113,-74.906005,3624.0,Raphanus raphanistrum L.,raphanistrum
3865096292,0,0,3,3865096292,3865096292,PH,"John M. Fogg, Jr.",1944-09-21,265,265,1944,9,21,"Sept. 21, 1944",Pennsylvania,Chester,NA,1.5 mi. S of Chester Springs,40.078371,-75.615414,1977.0,Raphanus raphanistrum L.,raphanistrum
2859393230,1,10,3,2859393230,2859393230,CM,"Zanol, W.A.",1994-06-04,155,155,1994,6,4,NA,Pennsylvania,Cambria,NA,2 km SW of Belsano,40.51375,-78.87135,4834.0,Raphanus raphanistrum L.,raphanistrum
4102367465,3,5,35,4102367465,4102367465,BRIT,NA,NA,NA,NA,NA,NA,NA,NA,California,Humboldt,NA,NA,NA,NA,NA,Raphanus sativus L.,sativus
3865094240,1,1,5,3865094240,3865094240,PH,Kenneth K. Mackenzie,1914-07-26,207,207,1914,7,26,July 26 1914,New Jersey,Burlington,NA,Beverly,40.063418,-74.918884,2443.0,Raphanus raphanistrum L.,raphanistrum
2430344256,9,11,9,2430344256,2430344256,RSA,Steven A. Junak,1990-04-10,100,100,1990,4,10,10 Apr 1990,California,Santa Barbara,NA,"Santa Cruz Island, Prisoners’ Harbor, N side of magazine building",34.01859,-119.68365,160.0,Raphanus raphanistrum L.,raphanistrum
2859334853,1,4,7,2859334853,2859334853,CM,"Fogg, J.M., Jr.",1953-05-27,147,147,1953,5,27,27 May 1953,Pennsylvania,Chester,NA,1.5 mi S of Chester Springs,40.073105,-75.617254,NA,Raphanus raphanistrum L.,raphanistrum
3865374368,1,1,11,3865374368,3865374368,PH,David Berkheimer,1948-07-22,204,204,1948,7,22,NA,Pennsylvania,Berks,NA,2.75 mi. NW of Bethel,40.5026,-76.329077,1275.0,Raphanus raphanistrum L.,raphanistrum
SML_1999393230,1,11,0,SML_1999393230,1999393230,GH,[data not captured],NA,NA,NA,NA,NA,NA,NA,Mississippi,Panola County,NA,[data not captured],NA,NA,NA,Raphanus sativus L.,sativus
3344481314,4,4,0,3344481314,3344481314,CLEMS,R. M. Hendrick,1976-03-06,66,66,1976,3,6,NA,South Carolina,Hampton,NA,Hampton,NA,NA,NA,Raphanus raphanistrum L.,raphanistrum
SML_1999287812,0,0,7,SML_1999287812,1999287812,GH,J. C. Hall,2004-05-31,152,152,2004,5,31,NA,Massachusetts,Middlesex County,Cambridge,"Glasshouses of the Biological Laboratories, 16 Divinity Avenue [Harvard University]",42.37725,-71.11309,100,Raphanus raphanistrum L.,raphanistrum
3496963329,0,0,20,3496963329,3496963329,ODU,Danhof F. VanDyck,1968-06-05,157,157,1968,6,5,NA,Virginia,Norfolk City,NA,Old Dominion College campus,36.88648,-76.306584,756.0,Raphanus raphanistrum L.,raphanistrum
1998973354,2,1,32,1998973354,1998973354,NEBC,N. T. Kidder,1921-07-03,184,184,1921,7,3,NA,Massachusetts,Norfolk County,Quincy,Blue Hills Reservation. Furnace Brook Parkway,42.20583,-71.09347,2407m,Raphanus raphanistrum L.,raphanistrum
4067794458,3,8,18,4067794458,4067794458,MCA,"R. L. Schaeffer, Jr.; Harold W. Pretz",1957-10-05,278,278,1957,10,5,NA,Pennsylvania,Monroe,NA,1 mile SE of Long Pond,41.043174,-75.449375,4807.0,Raphanus raphanistrum L.,raphanistrum
